Rank,Company Code,Company Name,Price,Change,Percent,Market,Year
125,MLT,Milton Corporation Ltd,$4.29,+0.04,+0.94%,$2.89 B,-9.68%
126,VEA,Viva Energy Group Ltd,$1.76,+0.065,+3.84%,$2.86 B,-28.58%
127,TNE,Technology One Ltd,$8.87,+0.04,+0.45%,$2.83 B,+18.11%
128,BPT,Beach Energy Ltd,$1.23,+0.08,+6.96%,$2.81 B,-48.75%
129,GOZ,Growthpoint Properties Australia,$3.58,+0.15,+4.37%,$2.76 B,-15.96%
130,IGO,IGO Ltd,$4.65,+0.2,+4.49%,$2.75 B,-26.77%
131,BKW,Brickworks Ltd,$17.96,+0.33,+1.87%,$2.70 B,-1.91%
132,LYC,Lynas Corporation Ltd,$2.94,+0.1,+3.52%,$2.65 B,+18.29%
133,BWP,BWP Trust,$4.09,+0.06,+1.49%,$2.63 B,-2.15%
134,BAP,Bapcor Ltd,$7.71,+0.17,+2.26%,$2.62 B,+6.49%
135,LNK,Link Administration Holdings Ltd,$4.84,+0.11,+2.33%,$2.57 B,-13.42%
136,SCP,Shopping Centres Australasia Property Group,$2.38,+0.03,+1.28%,$2.56 B,-12.18%
137,SUL,Super Retail Group Ltd,$11.32,+0.31,+2.82%,$2.56 B,+20.35%
138,CLW,Charter Hall Long Wale REIT,$4.94,+0.1,+2.07%,$2.55 B,-13.54%
139,ORA,Orora Ltd,$2.65,+0.07,+2.71%,$2.54 B,-32.91%
140,ARB,ARB Corporation Ltd,$31.39,+0.67,+2.18%,$2.54 B,+67.15%
141,YAL,Yancoal Australia Ltd,$1.90,-0.03,-1.55%,$2.51 B,-37.09%
142,FLT,Flight Centre Travel Group Ltd,$12.19,+0.8,+7.02%,$2.43 B,-67.76%
143,PPH,Pushpay Holdings Ltd,$8.74,+0.46,+5.56%,$2.41 B,+194.28%
144,-,CMW,Cromwell Property Group,$0.92,0.00,0.00%,$2.41 B
145,DHG,Domain Holdings Australia Ltd,$4.00,+0.16,+4.17%,$2.34 B,+23.84%
146,MGG,Magellan Global Trust,$1.86,+0.01,+0.54%,$2.31 B,+2.20%
147,CSR,CSR Ltd,$4.75,+0.09,+1.93%,$2.31 B,+0.21%
148,VGS,Vanguard MSCI INDEX International Shares ETF,$79.80,+0.82,+1.04%,$2.28 B,+1.21%
149,PDL,Pendal Group Ltd,$6.89,+0.49,+7.66%,$2.22 B,-4.83%
150,KGN,Kogan.com Ltd,$20.90,+0.55,+2.70%,$2.21 B,+196.88%
151,SNZ,Summerset Group Holdings Ltd,$9.65,-0.14,-1.43%,$2.21 B,+56.91%
